,Symbol,Sector,PER,ROA,ROE,REC,EPS
35,ANSS,Technology,29.126247,0.058369998,0.10032,hold,11.01
36,AON,Financial Services,19.312824,0.05988,0.72012,buy,17.39
37,APA,Energy,5.9454546,0.07467,0.22242,hold,2.75
38,APO,Financial Services,15.7311325,0.01844,0.22670001,buy,8.48
39,AAPL,Technology,25.184114,0.22518998,1.3652,buy,8.31
40,AMAT,Technology,15.639836,0.15558,0.35186002,buy,9.69
41,APTV,Consumer Cyclical,8.012894,0.05511,0.17297001,buy,6.98
42,ACGL,Financial Services,10.030973,0.044499997,0.22014,buy,9.04
43,ADM,Consumer Defensive,9.516765,0.0233,0.07587,hold,5.07
44,ANET,Technology,8.007195,0.15336001,0.33137,buy,9.73
45,AJG,Financial Services,28.572695,0.030280001,0.09488,buy,11.28
46,AIZ,Financial Services,10.648995,0.01893,0.15332,none,17.92
47,T,Communication Services,11.96875,0.04188,0.10885,buy,2.24
48,ATO,Utilities,22.14846,0.03504,0.09009,buy,7.14
49,ADSK,Technology,29.404139,0.085260004,0.49687,buy,9.18
50,ADP,Technology,26.840847,0.054569997,0.83716005,hold,10.87
51,AZO,Consumer Cyclical,20.705196,0.13438,Unknown,buy,174.32
52,AVB,Real Estate,37.140793,0.02898,0.09122,buy,5.54
53,AVY,Consumer Cyclical,16.230988,0.08647,0.31949,buy,10.52
54,AXON,Industrials,97.38388,0.012180001,0.19122,buy,6.2
55,BKR,Energy,14.18288,0.05787,0.18035999,buy,2.57
56,BALL,Consumer Cyclical,14.322947,0.04004,0.08805,buy,3.53
57,BAC,Financial Services,10.844262,0.00841,0.094560005,strong_buy,3.66
58,BAX,Healthcare,10.493055,0.02053,-0.042090002,none,2.88
59,BDX,Healthcare,13.037508,0.03698,0.06835,buy,15.73
60,BRK.B,Unknown,Unknown,Unknown,Unknown,Unknown,Unknow
61,BBY,Consumer Cyclical,9.899122,0.072859995,0.31633,buy,6.84
62,TECH,Healthcare,22.94064,0.05683,0.07825,buy,2.19
63,BIIB,Healthcare,7.133253,0.05289,0.10358,buy,16.66
64,BLK,Financial Services,18.486559,Unknown,Unknown,buy,49.1
65,BX,Financial Services,22.789022,Unknown,0.26601,buy,5.83
66,BK,Financial Services,12.044411,0.01082,0.11229,buy,6.53
67,BA,Industrials,378.617,-0.041020002,Unknown,buy,0.47
68,BKNG,Consumer Cyclical,23.056658,0.18225001,Unknown,buy,209.85
69,BSX,Healthcare,36.5233,Unknown,Unknown,strong_buy,2.79
70,BMY,Healthcare,6.813656,0.07237,0.31986,hold,7.03
71,AVGO,Technology,31.168556,0.069759995,0.14845,strong_buy,6.17
72,BR,Technology,25.424599,0.08861,0.35341,hold,9.35
73,BRO,Financial Services,27.98044,0.052849997,0.16678,buy,4.09
74,BF.B,Unknown,Unknown,Unknown,Unknown,Unknown,Unknow
75,BLDR,Industrials,10.416309,0.09458,0.23877001,buy,11.65
76,BG,Consumer Defensive,8.7,0.03886,0.10438,buy,9.3
77,BXP,Real Estate,35.2139,0.02421,0.01044,buy,1.87
78,CHRW,Industrials,18.855042,0.08492,0.29655,buy,4.76
79,CDNS,Technology,42.281754,0.11858,0.26133,buy,6.85
80,CZR,Consumer Cyclical,21.22388,0.043119997,-0.04639,buy,1.34
81,CPT,Real Estate,70.37037,0.020680001,0.03487,buy,1.62
82,CPB,Consumer Defensive,10.642229,0.064959995,0.13423,hold,3.41
83,COF,Financial Services,11.668582,0.00999,0.08028,buy,15.66
84,CAH,Healthcare,15.921295,0.0301,Unknown,buy,8.64
85,KMX,Consumer Cyclical,17.249336,0.01806,0.08128,buy,3.77
86,CCL,Consumer Cyclical,10.813953,0.048130002,0.2587,buy,1.72
87,CARR,Industrials,19.75658,0.04147,0.103590004,buy,3.04
88,CAT,Industrials,13.835216,0.09675,0.55327,buy,22.15
89,CBOE,Financial Services,23.266884,0.09678,0.1851,hold,9.18
90,CBRE,Real Estate,20.121668,0.038900003,0.11921,buy,6.0
91,CDW,Technology,15.607707,0.07495,0.49043998,buy,10.12
92,COR,Healthcare,17.47555,0.02861,1.98149,buy,16.36
93,CNC,Healthcare,8.194602,0.03779,0.12527001,buy,7.04
94,CNP,Utilities,21.948275,0.02971,0.092209995,buy,1.74
95,CF,Basic Materials,12.697412,0.07745,0.18503,hold,6.18
96,CRL,Healthcare,11.153697,0.0434,0.0070599997,hold,10.28
97,SCHW,Financial Services,21.036842,Unknown,Unknown,buy,3.8
98,CHTR,Communication Services,10.442986,0.05639,0.33116,hold,35.78
99,CVX,Energy,12.566123,0.056160003,0.11266,buy,11.04
100,CMG,Consumer Cyclical,39.52672,0.14265001,0.45574,buy,1.31
101,CB,Financial Services,11.821685,0.02701,0.12855,buy,23.61
102,CHD,Consumer Defensive,26.624664,0.083380006,0.14247,hold,3.73
103,CI,Healthcare,10.707535,0.03925,0.086260006,buy,31.32
104,CINF,Financial Services,18.238745,0.052529998,0.17608,buy,7.33
105,CTAS,Industrials,44.529915,0.15531999,0.40296,hold,4.68
106,CSCO,Technology,14.541025,0.065560006,0.20019,buy,3.9
107,C,Financial Services,9.5173855,0.00541,0.06435,buy,7.19
108,CFG,Financial Services,9.576228,0.00703,0.06367,buy,3.87
109,CLX,Consumer Defensive,18.96708,0.11265001,2.7610598,hold,7.29
110,CME,Financial Services,25.679844,0.01762,0.13387,hold,10.37
111,CMS,Utilities,20.162012,0.03091,0.11234,buy,3.58
112,KO,Consumer Defensive,24.212122,0.09017,0.39549,buy,2.97
113,CTSH,Technology,14.462926,0.09838,0.16211,hold,4.99
114,CL,Consumer Defensive,24.329018,0.16023001,4.51259,buy,3.86
115,CMCSA,Communication Services,7.739726,0.05451,0.18049,buy,4.38
116,CAG,Consumer Defensive,9.089219,0.05133,0.03658,hold,2.69
117,COP,Energy,11.422168,0.08403,0.16209,buy,8.03
118,ED,Utilities,19.653025,0.029979998,0.08442,hold,5.62
119,STZ,Consumer Defensive,12.218194,0.092709996,-0.0036199999,buy,15.17
120,CEG,Utilities,24.915085,0.05151,0.30115,buy,8.95
121,COO,Healthcare,19.825981,0.03797,0.05251,buy,4.08
122,CPRT,Industrials,35.0,0.12133,0.19184999,none,1.74
123,GLW,Technology,19.125542,0.03083,0.051620003,buy,2.31
124,CPAY,Technology,14.518936,0.06565,0.31228,buy,22.18
125,CTVA,Basic Materials,19.149532,0.02911,0.035,buy,3.21
126,CSGP,Real Estate,73.94643,0.00032000002,0.01863,buy,1.12
127,COST,Consumer Defensive,49.652435,0.087349996,0.32894,buy,19.68
128,CTRA,Energy,10.888412,0.04121,0.08565,buy,2.33
129,CRWD,Technology,99.50352,-0.0046900003,-0.00587,buy,4.27
130,CCI,Real Estate,37.384327,0.03994,-1.24936,buy,2.68
131,CSX,Industrials,13.714286,0.07445,0.26121,buy,2.03
132,CMI,Industrials,13.0222025,0.07453,0.38356,hold,22.52
133,CVS,Healthcare,10.080247,0.01993,0.0602,buy,6.48
134,DHR,Healthcare,23.525059,0.03928,0.07219,strong_buy,8.38
135,DRI,Consumer Cyclical,18.854166,0.07198,0.48222,buy,10.56
136,DVA,Healthcare,12.383318,0.071490005,0.5174,hold,11.27
137,DAY,Technology,26.158371,0.00698,0.00732,buy,2.21
138,DECK,Consumer Cyclical,17.16824,0.19806999,0.39797002,buy,6.36
139,DE,Industrials,20.717184,0.0496,0.27745,buy,22.17
140,DELL,Technology,10.094681,0.05351,Unknown,buy,9.4
141,DAL,Industrials,5.923077,0.04735,0.27521,buy,7.02
142,DVN,Energy,7.029148,0.093100004,0.21857001,buy,4.46
143,DXCM,Healthcare,35.300495,0.05883,0.27628002,strong_buy,2.03
144,FANG,Energy,9.34153,0.06336,0.1292,buy,14.64
145,DLR,Real Estate,132.13223,0.00999,0.01849,buy,1.21
146,DFS,Financial Services,14.567376,0.03185,0.28472,buy,12.69
147,DG,Consumer Defensive,15.0418005,0.03917,0.15890001,buy,6.22
148,DLTR,Consumer Defensive,13.29538,0.04654,0.18466999,buy,6.06
149,D,Utilities,15.66568,0.02706,0.06489,hold,3.38
